Row ID,Order ID,Customer ID,Ship Mode,Order Date,Ship Date,period,Season,year,month,day_of_week,Coordinates,State,City,Segment,Sub-Category,Product ID,Product Name,Discount,Sales,Quantity,unit_value,Profit
141,CA-2016-110366,JD-15895,Second Class,2016-09-10,2016-09-07,476 days,Fall,2016,9,5,"(41.2033, -77.1945)",Pennsylvania,Philadelphia,Corporate,Furnishings,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",0.2,82.8,2,41.4,10.35
147,CA-2014-110072,MG-17680,Standard Class,2014-10-25,2014-10-28,1162 days,Fall,2014,10,5,"(40.4173, -82.9071)",Ohio,Newark,Home Office,Furnishings,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",0.2,93.888,4,23.472,12.9096
150,CA-2016-114489,JE-16165,Standard Class,2016-12-05,2016-12-09,390 days,Winter,2016,12,0,"(43.7844, -88.7879)",Wisconsin,Franklin,Corporate,Chairs,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",0.0,1951.84,8,243.98,585.552
174,CA-2014-118962,CS-12130,Standard Class,2014-08-05,2014-08-09,1243 days,Summer,2014,8,1,"(36.7783, -119.4179)",Texas,Los Angeles,Consumer,Chairs,FUR-CH-10003817,"Global Value Steno Chair, Gray",0.2,340.144,7,48.592,21.259
178,US-2015-101511,JE-15745,Second Class,2015-11-21,2015-11-23,770 days,Fall,2015,11,5,"(40.4173, -82.9071)",Ohio,Newark,Consumer,Chairs,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",0.3,396.802,7,56.686,-11.3372
190,CA-2015-102281,MP-17470,First Class,2015-10-12,2015-10-14,810 days,Fall,2015,10,0,"(40.7128, -74.006)",New York,New York City,Home Office,Bookcases,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",0.2,899.136,4,224.784,112.392
193,CA-2015-102281,MP-17470,First Class,2015-10-12,2015-10-14,810 days,Fall,2015,10,0,"(40.7128, -74.006)",New York,New York City,Home Office,Bookcases,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",0.2,626.352,3,208.784,46.9764
202,CA-2014-133690,BS-11755,First Class,2014-08-03,2014-08-05,1245 days,Summer,2014,8,6,"(39.5501, -105.7821)",Colorado,Denver,Consumer,Tables,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,0.5,218.75,2,109.375,-161.875
205,CA-2017-126382,HK-14890,Standard Class,2017-06-03,2017-06-07,210 days,Summer,2017,6,5,"(35.5175, -86.5804)",Tennessee,Franklin,Corporate,Furnishings,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",0.2,35.168,7,5.024,9.6712
214,CA-2015-146262,VW-21775,Standard Class,2015-01-03,2015-01-09,1092 days,Winter,2015,1,5,"(40.4173, -82.9071)",Ohio,Medina,Corporate,Bookcases,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,0.5,2593.535287363208,20,129.6767643681604,-244.323
223,CA-2015-169397,JB-15925,First Class,2015-12-26,2015-12-27,735 days,Winter,2015,12,5,"(40.4173, -82.9071)",Ohio,Dublin,Consumer,Furnishings,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",0.2,72.704,4,18.176,19.0848
230,US-2015-145436,VD-21670,Standard Class,2015-02-28,2015-03-04,1036 days,Winter,2015,2,5,"(35.5175, -86.5804)",Tennessee,Columbia,Consumer,Chairs,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",0.2,389.696,8,48.712,43.8408
232,US-2017-100930,CS-12400,Standard Class,2017-04-08,2017-04-12,266 days,Spring,2017,4,5,"(27.9944, -81.7603)",Florida,Tampa,Home Office,Tables,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,0.45,233.86,1,233.86,-102.048
233,US-2017-100930,CS-12400,Standard Class,2017-04-08,2017-04-12,266 days,Spring,2017,4,5,"(27.9944, -81.7603)",Florida,Tampa,Home Office,Tables,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,0.45,620.6145,3,206.8715,-248.2458
239,CA-2016-157749,KL-16645,Second Class,2016-06-04,2016-06-09,574 days,Summer,2016,6,5,"(40.6331, -89.3985)",Illinois,Chicago,Consumer,Furnishings,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,0.6,419.68,5,83.936,-356.728
242,CA-2016-157749,KL-16645,Second Class,2016-06-04,2016-06-09,574 days,Summer,2016,6,5,"(40.6331, -89.3985)",Illinois,Chicago,Consumer,Tables,FUR-TA-10002607,KI Conference Tables,0.5,177.225,5,35.445,-120.513
245,CA-2014-131926,DW-13480,Second Class,2014-06-01,2014-06-06,1308 days,Summer,2014,6,6,"(46.7296, -94.6859)",Minnesota,Lakeville,Home Office,Chairs,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,0.0,2001.86,26,76.99461538461539,580.5394
250,CA-2016-154739,LH-17155,Second Class,2016-12-10,2016-12-15,385 days,Winter,2016,12,5,"(36.7783, -119.4179)",California,San Francisco,Consumer,Chairs,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",0.2,321.568,2,160.784,28.1372
283,CA-2015-130890,JO-15280,Standard Class,2015-11-02,2015-11-06,789 days,Fall,2015,11,0,"(36.7783, -119.4179)",California,Los Angeles,Consumer,Tables,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",0.2,1038.84,5,207.76799999999997,51.942
293,CA-2016-110772,NZ-18565,Second Class,2016-11-20,2016-11-24,405 days,Fall,2016,11,6,"(40.4173, -82.9071)",Ohio,Columbus,Home Office,Bookcases,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",0.5,86.97,3,28.99,-48.7032
294,CA-2014-111451,KL-16555,First Class,2014-12-26,2014-12-28,1100 days,Winter,2014,12,4,"(39.5501, -105.7821)",Colorado,Colorado Springs,Corporate,Furnishings,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",0.2,300.416,8,37.552,78.8592
296,CA-2014-111451,KL-16555,First Class,2014-12-26,2014-12-28,1100 days,Winter,2014,12,4,"(39.5501, -105.7821)",Colorado,Colorado Springs,Corporate,Furnishings,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,0.2,218.352,3,72.784,-24.5646
302,CA-2016-142545,JD-15895,Standard Class,2016-10-28,2016-11-03,428 days,Fall,2016,10,4,"(40.0583, -74.4057)",New Jersey,Belleville,Corporate,Furnishings,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",0.0,77.6,4,19.4,38.024
305,CA-2015-144253,AS-10225,Second Class,2015-05-09,2015-05-09,966 days,Spring,2015,5,5,"(40.7128, -74.006)",New York,New York City,Corporate,Furnishings,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,0.0,26.8,2,13.4,12.864
310,CA-2016-142902,BP-11185,Second Class,2016-09-12,2016-09-14,474 days,Fall,2016,9,0,"(39.5501, -105.7821)",Colorado,Arvada,Corporate,Furnishings,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,0.2,15.136,4,3.784,3.5948
311,CA-2016-142902,BP-11185,Second Class,2016-09-17,2016-09-14,469 days,Fall,2016,9,5,"(39.5501, -105.7821)",Texas,Arvada,Corporate,Chairs,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,0.2,466.768,2,233.384,52.5114
312,CA-2016-142902,BP-11185,Second Class,2016-09-12,2016-09-14,474 days,Fall,2016,9,0,"(39.5501, -105.7821)",Colorado,Arvada,Corporate,Furnishings,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",0.2,15.232,26,0.5858461538461538,1.7136
318,CA-2014-164973,NM-18445,Standard Class,2014-11-04,2014-11-09,1152 days,Fall,2014,11,1,"(40.7128, -74.006)",New York,New York City,Home Office,Chairs,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,0.1,135.882,1,135.882,24.1568
363,CA-2017-144904,KW-16435,Standard Class,2017-09-25,2017-10-01,96 days,Fall,2017,9,0,"(40.7128, -74.006)",New York,New York City,Consumer,Chairs,FUR-CH-10000785,Global Ergonomic Managers Chair,0.1,488.646,3,162.882,86.8704
365,CA-2017-144904,KW-16435,Standard Class,2017-09-25,2017-10-01,96 days,Fall,2017,9,0,"(40.7128, -74.006)",New York,New York City,Consumer,Furnishings,FUR-FU-10000023,Eldon Wave Desk Accessories,0.0,47.12,8,5.89,20.7328
385,US-2015-168935,DO-13435,Standard Class,2015-11-28,2015-12-02,763 days,Fall,2015,11,5,"(27.9944, -81.7603)",Florida,Pembroke Pines,Consumer,Tables,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",0.45,375.4575,3,125.15249999999999,-157.0095
400,CA-2016-108987,AG-10675,Second Class,2016-09-10,2016-09-10,476 days,Fall,2016,9,5,"(31.9686, -99.9018)",Texas,Houston,Consumer,Bookcases,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",0.32,2396.2656,4,599.0664,-317.1528
409,CA-2017-117457,KH-16510,Standard Class,2017-12-08,2017-12-12,22 days,Winter,2017,12,4,"(36.7783, -119.4179)",California,San Francisco,Consumer,Tables,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",0.2,1004.024,7,143.432,-112.9527
416,CA-2017-142636,KC-16675,Standard Class,2017-11-03,2017-11-07,57 days,Fall,2017,11,4,"(47.7511, -120.7401)",Washington,Seattle,Corporate,Chairs,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,0.2,307.136,4,76.784,26.8744
423,CA-2017-125388,MP-17965,Standard Class,2017-10-21,2017-10-23,70 days,Fall,2017,10,5,"(42.4072, -71.3824)",Massachusetts,Lawrence,Corporate,Furnishings,FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",0.0,56.56,4,14.14,14.7056
425,CA-2017-155705,NF-18385,Second Class,2017-08-21,2017-08-23,131 days,Summer,2017,8,0,"(32.3547, -89.3985)",Mississippi,Jackson,Consumer,Chairs,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,0.0,866.4,4,216.6,225.264
426,CA-2017-149160,JM-15265,Second Class,2017-11-23,2017-11-26,37 days,Fall,2017,11,3,"(44.3148, -85.6024)",Michigan,Canton,Corporate,Furnishings,FUR-FU-10003347,Coloredge Poster Frame,0.0,28.4,2,14.2,11.076
440,CA-2017-157252,CV-12805,Second Class,2017-01-20,2017-01-23,344 days,Winter,2017,1,4,"(40.7128, -74.006)",New York,New York City,Corporate,Chairs,FUR-CH-10003396,Global Deluxe Steno Chair,0.1,207.846,3,69.282,2.3094
441,CA-2016-115756,PK-19075,Second Class,2016-09-10,2016-09-07,476 days,Fall,2016,9,5,"(44.3148, -85.6024)",Michigan,Detroit,Consumer,Furnishings,FUR-FU-10000246,Aluminum Document Frame,0.0,12.22,1,12.22,3.666
447,CA-2017-154214,TB-21595,Second Class,2017-03-25,2017-03-25,280 days,Spring,2017,3,5,"(40.2672, -86.1349)",Indiana,Columbus,Consumer,Furnishings,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",0.0,2.91,1,2.91,1.3677
454,CA-2017-147277,EB-13705,Standard Class,2017-10-21,2017-10-24,70 days,Fall,2017,10,5,"(40.4173, -82.9071)",Ohio,Akron,Corporate,Tables,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,0.4,284.364,2,142.182,-75.8304
457,US-2014-110674,SC-20095,Standard Class,2014-02-12,2014-02-18,1417 days,Winter,2014,2,2,"(36.7783, -119.4179)",California,Concord,Consumer,Chairs,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",0.2,129.568,16,8.098,-24.294
458,US-2016-157945,NF-18385,Standard Class,2016-09-26,2016-10-01,460 days,Fall,2016,9,0,"(40.6331, -89.3985)",Illinois,Decatur,Consumer,Chairs,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,0.3,747.558,16,46.722375,-96.1146
463,CA-2016-109869,TN-21040,Standard Class,2016-04-22,2016-04-29,617 days,Spring,2016,4,4,"(34.0489, -111.0937)",Arizona,Phoenix,Home Office,Furnishings,FUR-FU-10000023,Eldon Wave Desk Accessories,0.2,23.56,22,1.0709090909090908,7.068
464,CA-2016-109869,TN-21040,Standard Class,2016-04-22,2016-04-29,617 days,Spring,2016,4,4,"(34.0489, -111.0937)",Arizona,Phoenix,Home Office,Tables,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,0.5,1272.63,6,212.10500000000002,-814.4832
469,CA-2017-154907,DS-13180,Standard Class,2017-04-01,2017-04-04,273 days,Spring,2017,4,5,"(31.9686, -99.9018)",Texas,Amarillo,Corporate,Bookcases,FUR-BO-10002824,Bush Mission Pointe Library,0.32,205.3328,2,102.6664,-36.2352
473,CA-2014-144666,JP-15520,Second Class,2014-11-09,2014-11-11,1147 days,Fall,2014,11,6,"(36.7783, -119.4179)",California,San Francisco,Consumer,Bookcases,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",0.15,222.666,2,111.333,10.4784
479,CA-2016-152632,JE-15475,Standard Class,2016-10-27,2016-11-02,429 days,Fall,2016,10,3,"(40.7128, -74.006)",New York,Troy,Consumer,Furnishings,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,0.0,40.2,3,13.4,19.296
495,US-2016-120929,RO-19780,Second Class,2016-03-18,2016-03-21,652 days,Spring,2016,3,4,"(35.5175, -86.5804)",Tennessee,Memphis,Consumer,Tables,FUR-TA-10001857,Balt Solid Wood Rectangular Table,0.4,189.882,3,63.294000000000004,-94.941
498,CA-2016-126158,SC-20095,Standard Class,2016-07-30,2016-07-31,518 days,Summer,2016,7,5,"(36.7783, -119.4179)",California,Costa Mesa,Consumer,Furnishings,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",0.0,255.76,4,63.94,81.8432
499,CA-2016-126158,SC-20095,Standard Class,2016-07-25,2016-07-31,523 days,Summer,2016,7,0,"(36.7783, -119.4179)",California,Costa Mesa,Consumer,Chairs,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,0.2,241.568,2,120.784,18.1176
500,CA-2016-126158,SC-20095,Standard Class,2016-07-25,2016-07-31,523 days,Summer,2016,7,0,"(36.7783, -119.4179)",California,Costa Mesa,Consumer,Furnishings,FUR-FU-10000073,Deflect-O Glasstique Clear Desk Accessories,0.0,69.3,9,7.699999999999999,22.869
511,CA-2017-135307,LS-17245,First Class,2017-11-26,2017-11-27,34 days,Fall,2017,11,6,"(37.9643, -91.8318)",Missouri,Gladstone,Consumer,Furnishings,FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,0.0,126.3,3,42.1,40.416
523,CA-2017-145142,MC-17605,First Class,2017-01-23,2017-01-25,341 days,Winter,2017,1,0,"(44.3148, -85.6024)",Michigan,Detroit,Corporate,Tables,FUR-TA-10001857,Balt Solid Wood Rectangular Table,0.0,210.98,2,105.49,21.098
527,CA-2017-113558,PH-18790,Standard Class,2017-10-21,2017-10-26,70 days,Fall,2017,10,5,"(27.9944, -81.7603)",Florida,Lakeland,Home Office,Chairs,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,0.2,683.952,3,227.984,42.747
532,CA-2015-102848,KB-16240,Second Class,2015-11-07,2015-11-09,784 days,Fall,2015,11,5,"(36.7783, -119.4179)",Florida,Los Angeles,Corporate,Chairs,FUR-CH-10000595,Safco Contoured Stacking Chairs,0.2,190.72,1,190.72,11.92
540,CA-2015-134894,DK-12985,Standard Class,2015-12-07,2015-12-11,754 days,Winter,2015,12,0,"(37.8393, -84.27)",Kentucky,Henderson,Consumer,Chairs,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",0.0,283.92,4,70.98,70.98
546,CA-2014-103849,PG-18895,Standard Class,2014-05-11,2014-05-16,1329 days,Spring,2014,5,6,"(31.9686, -99.9018)",Texas,Fort Worth,Consumer,Furnishings,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",0.6,66.112,4,16.528,-84.2928
552,CA-2016-136406,BD-11320,Second Class,2016-04-15,2016-04-17,624 days,Spring,2016,4,4,"(36.7783, -119.4179)",California,San Francisco,Consumer,Chairs,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,0.2,1121.568,2,560.784,0.0
553,CA-2017-112774,RC-19960,First Class,2017-09-16,2017-09-12,105 days,Fall,2017,9,5,"(27.9944, -81.7603)",Florida,Jacksonville,Consumer,Furnishings,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",0.2,34.504,1,34.504,6.0382
558,CA-2016-113243,OT-18730,Standard Class,2016-06-10,2016-06-15,568 days,Summer,2016,6,4,"(36.7783, -119.4179)",California,Los Angeles,Consumer,Tables,FUR-TA-10004256,Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,0.2,1335.68,4,333.92,-217.048
560,CA-2017-118731,LP-17080,Second Class,2017-11-20,2017-11-22,40 days,Fall,2017,11,0,"(36.7783, -119.4179)",California,San Francisco,Consumer,Furnishings,FUR-FU-10003347,Coloredge Poster Frame,0.0,42.6,3,14.200000000000001,16.614
570,CA-2017-156951,EB-13840,Standard Class,2017-10-01,2017-10-08,90 days,Fall,2017,10,6,"(47.7511, -120.7401)",Texas,Seattle,Corporate,Chairs,FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,0.2,451.152,3,150.384,0.0
587,CA-2015-128139,BD-11725,Standard Class,2015-07-03,2015-07-09,911 days,Summer,2015,7,4,"(37.8393, -84.27)",Kentucky,Richmond,Consumer,Chairs,FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,0.0,70.98,1,70.98,4.9686
604,CA-2014-149958,AS-10240,Standard Class,2014-03-15,2014-03-19,1386 days,Spring,2014,3,5,"(27.9944, -81.7603)",Florida,Tampa,Consumer,Furnishings,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",0.2,45.696,3,15.232,5.1408
617,CA-2017-117947,NG-18355,Second Class,2017-08-18,2017-08-23,134 days,Summer,2017,8,4,"(40.7128, -74.006)",New York,New York City,Corporate,Furnishings,FUR-FU-10003849,"DAX Metal Frame, Desktop, Stepped-Edge",0.0,40.48,2,20.24,15.7872
623,CA-2015-138009,SF-20965,Standard Class,2015-11-29,2015-12-03,762 days,Fall,2015,11,6,"(44.3148, -85.6024)",Michigan,Dearborn,Corporate,Chairs,FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",0.0,301.96,2,150.98,87.5684
627,CA-2017-163020,MO-17800,Standard Class,2017-09-15,2017-09-19,106 days,Fall,2017,9,4,"(40.7128, -74.006)",New York,New York City,Home Office,Furnishings,FUR-FU-10000221,"Master Caster Door Stop, Brown",0.0,35.56,7,5.08,12.0904
641,CA-2016-147067,JD-16150,Standard Class,2016-12-18,2016-12-22,377 days,Winter,2016,12,6,"(46.7296, -94.6859)",Ohio,Minneapolis,Corporate,Furnishings,FUR-FU-10000732,Eldon 200 Class Desk Accessories,0.0,18.84,3,6.28,6.0288
649,CA-2016-160745,AR-10825,Second Class,2016-12-11,2016-12-16,384 days,Winter,2016,12,6,"(47.7511, -120.7401)",Washington,Vancouver,Corporate,Furnishings,FUR-FU-10001935,3M Hangers With Command Adhesive,0.0,14.8,4,3.7,6.068
658,US-2016-156097,EH-14125,Same Day,2016-09-19,2016-09-19,467 days,Fall,2016,9,0,"(40.6331, -89.3985)",Illinois,Aurora,Home Office,Chairs,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,0.3,701.372,2,350.686,-50.098
662,CA-2015-146563,CB-12025,Standard Class,2015-08-29,2015-08-28,854 days,Summer,2015,8,5,"(31.9686, -99.9018)",Texas,Arlington,Consumer,Tables,FUR-TA-10001768,Hon Racetrack Conference Tables,0.3,918.785,5,183.757,-118.1295
669,CA-2014-156314,RP-19390,First Class,2014-12-27,2014-12-26,1099 days,Winter,2014,12,5,"(40.4173, -82.9071)",Ohio,Cleveland,Consumer,Furnishings,FUR-FU-10003096,"Master Giant Foot Doorstop, Safety Yellow",0.2,30.36,5,6.072,8.7285
670,US-2017-106663,MO-17800,Standard Class,2017-06-09,2017-06-13,204 days,Summer,2017,6,4,"(40.6331, -89.3985)",Illinois,Chicago,Home Office,Furnishings,FUR-FU-10002759,12-1/2 Diameter Round Wall Clock,0.6,23.976,3,7.992,-14.3856
689,CA-2017-161480,RA-19285,Standard Class,2017-12-25,2017-12-29,5 days,Winter,2017,12,0,"(40.7128, -74.006)",New York,New York City,Consumer,Bookcases,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",0.2,191.984,27,7.110518518518519,4.7996
702,CA-2017-114552,Dl-13600,Standard Class,2017-09-02,2017-09-08,119 days,Fall,2017,9,5,"(40.4173, -82.9071)",Ohio,Cleveland,Corporate,Furnishings,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",0.2,15.072,3,5.024,4.1448
703,CA-2016-163755,AS-10285,Second Class,2016-11-04,2016-11-08,421 days,Fall,2016,11,4,"(47.7511, -120.7401)",Washington,Seattle,Corporate,Furnishings,FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",0.0,209.88,3,69.96,35.6796
717,CA-2014-130092,SV-20365,First Class,2014-01-11,2014-01-14,1449 days,Winter,2014,1,5,"(38.9108, -75.5277)",Delaware,Dover,Consumer,Furnishings,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",0.0,9.94,2,4.97,3.0814
718,CA-2017-108910,KC-16540,Standard Class,2017-09-24,2017-09-29,97 days,Fall,2017,9,6,"(40.4173, -82.9071)",Ohio,Newark,Consumer,Furnishings,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",0.2,103.056,3,34.352,24.4758
720,CA-2014-104472,CK-12325,Standard Class,2014-06-02,2014-06-07,1307 days,Summer,2014,6,0,"(39.32, -111.0937)",Utah,Orem,Home Office,Furnishings,FUR-FU-10000246,Aluminum Document Frame,0.0,73.32,6,12.219999999999999,21.996
